student_no,programme,gpa,quiz_score,assignment_score,attendance,engagement_score,semester,course_name,financial_status
KGL1000,Computer Science,2.91,72,74,76.1,69.3,Semester 1,Database Systems,Scholarship
KGL1001,Computer Science,3.29,69,88,80.1,83.2,Semester 2,Web Development,Stable
KGL1002,Computer Science,3.71,90,93,97.7,96.2,Semester 1,Mathematics & Statistics,Stable
KGL1003,Computer Science,1.97,47,44,55.5,54.5,Semester 2,Machine Learning,Stable
KGL1004,Computer Science,3.05,76,75,78.9,72.7,Semester 1,Database Systems,Stable
KGL1005,Computer Science,3.09,71,78,77.1,77.6,Semester 2,Data Structures,Scholarship
KGL1006,Computer Science,3.67,88,92,91.9,100.0,Semester 1,Introduction to Programming,Stable
KGL1007,Computer Science,1.63,40,39,43.6,43.7,Semester 2,Web Development,Stable
KGL1008,Computer Science,2.6,64,67,65.6,63.9,Semester 1,Database Systems,Stable
KGL1009,Computer Science,1.97,38,50,48.6,67.3,Semester 2,Data Structures,Stable
KGL1010,Computer Science,2.19,58,52,49.8,58.3,Semester 1,Mathematics & Statistics,Stable
KGL1011,Computer Science,1.8,40,43,45.7,57.8,Semester 2,Data Structures,Stable
KGL1012,Computer Science,2.92,65,73,68.2,86.6,Semester 1,Mathematics & Statistics,Under Review
KGL1013,Engineering,2.93,78,70,71.0,69.7,Semester 2,Web Development,Scholarship
KGL1014,Engineering,2.15,50,58,46.9,56.6,Semester 1,Introduction to Programming,Stable
KGL1015,Engineering,2.96,69,78,70.8,78.9,Semester 2,Data Structures,Scholarship
KGL1016,Engineering,3.51,88,86,93.4,86.9,Semester 1,Database Systems,Stable
KGL1017,Engineering,1.04,18,28,40.0,38.6,Semester 2,Web Development,Stable
KGL1018,Engineering,1.79,46,46,48.7,37.3,Semester 1,Introduction to Programming,Stable
KGL1019,Engineering,2.31,54,61,49.9,51.8,Semester 2,Web Development,Stable
KGL1020,Engineering,2.64,66,63,68.5,70.9,Semester 1,Introduction to Programming,Stable
KGL1021,Engineering,2.8,65,70,73.4,77.4,Semester 2,Data Structures,Stable
